지점,지점명,일시,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppb),평균 아산화질소(N2O) 배경대기농도(ppb),평균 염화불화탄소11(CFC11) 배경대기농도(ppt),평균 염화불화탄소12(CFC12) 배경대기농도(ppt),평균 염화불화탄소113(CFC113) 배경대기농도(ppt),평균 육불화황(SF6) 배경대기농도(ppt)
115,울릉도독도(감),2018,412.7,,,,,,9.8
115,울릉도독도(감),2020,417.6,1976,334.5,,,,10.5
115,울릉도독도(감),2021,420.8,1988,335.3,,,,11.1
132,안면도(감),2010,394.9,1901,324.9,230.8,525.9,73.6,7.7
132,안면도(감),2011,396.8,1907,324.2,242.8,506.8,76.1,8.1
132,안면도(감),2012,399.9,1919,326.5,214.9,509.9,74.9,8.1
132,안면도(감),2013,402.4,1931,326.1,218.8,516.2,72.6,8.2
132,안면도(감),2014,404.6,1941,325.8,235.5,521.1,72.4,9.2
132,안면도(감),2015,407,1952,329,233.6,520.7,71.8,9.3
132,안면도(감),2016,409.9,1965,330,239.4,529.8,72.6,9.5
132,안면도(감),2017,412.2,1970,331.4,230.9,510.2,71.2,9.6
132,안면도(감),2018,415.2,1974,332.9,228.3,502.7,70.1,9.8
132,안면도(감),2020,420.4,1998,335,224,496.8,68.9,10.5
132,안면도(감),2021,423.1,2005,336.1,221.6,493.3,69,11.2
